id,X1,X2
0,5.701397155468049,4.29907446860386
1,4.903819517609438,5.150773671166807
2,-4.267175615539223,4.8871118497567325
3,5.161359280169044,-5.413615471776161
4,5.107046872065102,4.377130610644006
5,-4.542298941148963,5.164375554829842
6,5.029104359223,4.428514851084689
7,-5.365183315858569,-4.891770705209012
8,-5.330893232384194,-4.573783332601888
9,-5.157634622320173,-4.620515389753367
10,-4.593737088802901,5.678120014285412
11,-5.463465235789042,-5.0297626780309
12,5.006500945938954,5.726767038578658
13,-5.490754325523976,-4.768948262868364
14,-5.239587118922645,4.907170511668092
15,-3.933483312671867,-5.976043899761251
16,5.13834539966501,5.413591624518012
17,-4.96509895750499,-5.19265679843088
18,4.555242785187239,4.592094857517281
19,5.113729967302064,5.653571377141214
20,-5.230319385479894,5.528561113109458
21,5.049825682543821,4.7482621729419
22,-4.954119611732249,4.006215542699554
23,5.412708174494015,-4.593245181999681
24,4.990491896048655,-5.501264682318904
25,-5.104061125178638,-5.246500467329416
26,4.989549203017926,-4.941336308345609
27,5.125246425172938,5.1732241047484875
28,-5.506415560167212,5.157123666297637
29,5.206465727137812,-5.281862276401988
30,-4.7780902859268854,-4.612682973285332
31,4.143432735454561,-4.323063812917294
32,-4.9772140800480935,-5.325800173802908
33,-5.664093024449215,5.098430617934562
34,-5.272191362262591,5.055461294854933
35,-5.109835943918756,5.178556285755874
36,5.579055436750034,-4.604168653018532
37,4.659987639210755,5.116126848580501
38,-4.742476156846976,-3.0736342546726396
39,4.587251401603744,-5.160692920826497
40,-5.220022243348492,-4.934629711356954
41,5.122483285554361,-5.253471587685565
42,-5.454012037760606,4.293848149332354
43,5.273548690585019,-5.101096326216947
44,-5.0179130195549755,5.782321827907003
45,5.345071995855556,-5.200610235942918
46,-5.300319344959402,4.854153125103362
47,-4.819181987476183,4.677440122697438
48,5.373646802561631,-4.6948148672832675
49,-4.588727543948406,4.389578175014488
50,4.504731837434655,4.716851135198614
51,5.571411407257511,5.375966516343387
52,-3.9389219014936834,-4.4837673697244265
53,4.961449145292948,5.170575987408322
54,-4.747506360509772,-4.567122402914939
55,-4.9004701522132645,-5.3001084385793975
